TaxonID	dc:source	ScientificName	HigherTaxonID	TaxonRank	TaxonomicStatus
cyphophthalmi:tid:314	http://cyphophthalmi.lifedesks.org/pages/314	Cyphophthalmi incertae sedis	/N	family	
cyphophthalmi:tid:302	http://cyphophthalmi.lifedesks.org/pages/302	Opiliones	/N	order	
cyphophthalmi:tid:328	http://cyphophthalmi.lifedesks.org/pages/328	Dyspnoi	cyphophthalmi:tid:302		
cyphophthalmi:tid:326	http://cyphophthalmi.lifedesks.org/pages/326	Cyphophthalmi	cyphophthalmi:tid:302		
cyphophthalmi:tid:327	http://cyphophthalmi.lifedesks.org/pages/327	Eupnoi	cyphophthalmi:tid:302		
cyphophthalmi:tid:329	http://cyphophthalmi.lifedesks.org/pages/329	Laniatores	cyphophthalmi:tid:302		
cyphophthalmi:tid:304	http://cyphophthalmi.lifedesks.org/pages/304	Texella	cyphophthalmi:tid:303	genus	
cyphophthalmi:tid:305	http://cyphophthalmi.lifedesks.org/pages/305	Texella reddelli	cyphophthalmi:tid:304	species	
cyphophthalmi:tid:315	http://cyphophthalmi.lifedesks.org/pages/315	Miopsalis	cyphophthalmi:tid:314	genus	
cyphophthalmi:tid:323	http://cyphophthalmi.lifedesks.org/pages/323	Siro ere	cyphophthalmi:tid:314	species	
cyphophthalmi:tid:317	http://cyphophthalmi.lifedesks.org/pages/317	Siro cyphopselaphus	cyphophthalmi:tid:314	species	
cyphophthalmi:tid:457	http://cyphophthalmi.lifedesks.org/pages/457	New taxon	cyphophthalmi:tid:314		
cyphophthalmi:tid:318	http://cyphophthalmi.lifedesks.org/pages/318	Siro duricorius	cyphophthalmi:tid:314	species	
cyphophthalmi:tid:325	http://cyphophthalmi.lifedesks.org/pages/325	Siro zetae	cyphophthalmi:tid:314	species	
cyphophthalmi:tid:324	http://cyphophthalmi.lifedesks.org/pages/324	Siro martensi	cyphophthalmi:tid:314	species	
cyphophthalmi:tid:316	http://cyphophthalmi.lifedesks.org/pages/316	Miopsalis pulicaria	cyphophthalmi:tid:315	species	
cyphophthalmi:tid:321	http://cyphophthalmi.lifedesks.org/pages/321	Siro duricorius corfuanus	cyphophthalmi:tid:318		
cyphophthalmi:tid:319	http://cyphophthalmi.lifedesks.org/pages/319	Siro duricorius bithynicus	cyphophthalmi:tid:318		
cyphophthalmi:tid:320	http://cyphophthalmi.lifedesks.org/pages/320	Siro duricorius bolei	cyphophthalmi:tid:318		
cyphophthalmi:tid:322	http://cyphophthalmi.lifedesks.org/pages/322	Siro duricorius yalovensis	cyphophthalmi:tid:318		
cyphophthalmi:tid:395	http://cyphophthalmi.lifedesks.org/pages/395	Ankaratra	cyphophthalmi:tid:326	genus	
cyphophthalmi:tid:332	http://cyphophthalmi.lifedesks.org/pages/332	Ogoveidae	cyphophthalmi:tid:326	family	
cyphophthalmi:tid:335	http://cyphophthalmi.lifedesks.org/pages/335	Stylocellidae	cyphophthalmi:tid:326	family	
cyphophthalmi:tid:330	http://cyphophthalmi.lifedesks.org/pages/330	Sironidae	cyphophthalmi:tid:326	family	
cyphophthalmi:tid:333	http://cyphophthalmi.lifedesks.org/pages/333	Troglosironidae	cyphophthalmi:tid:326	family	
cyphophthalmi:tid:334	http://cyphophthalmi.lifedesks.org/pages/334	Pettalidae	cyphophthalmi:tid:326	family	
cyphophthalmi:tid:331	http://cyphophthalmi.lifedesks.org/pages/331	Neogoveidae	cyphophthalmi:tid:326	family	
cyphophthalmi:tid:399	http://cyphophthalmi.lifedesks.org/pages/399	'Neogovea'	cyphophthalmi:tid:326	genus	
cyphophthalmi:tid:397	http://cyphophthalmi.lifedesks.org/pages/397	Marwe	cyphophthalmi:tid:326	genus	
cyphophthalmi:tid:406	http://cyphophthalmi.lifedesks.org/pages/406	Caddidae	cyphophthalmi:tid:327	family	
cyphophthalmi:tid:408	http://cyphophthalmi.lifedesks.org/pages/408	Neopilionidae	cyphophthalmi:tid:327	family	
